age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,age_can_class,contact_var,was_contacted,pweek,quarter,education_lvl
39,8,0,3,1,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
54,4,1,6,1,0,0,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,3
55,9,0,6,1,2,2,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,3
46,2,0,5,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
59,4,0,5,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
49,3,0,5,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
54,6,0,0,1,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
54,3,2,0,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
55,9,0,0,1,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
34,1,0,1,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,1
52,4,0,3,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
41,2,0,6,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,3
56,4,0,0,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
58,6,3,6,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,3
32,10,0,1,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,1
38,2,1,4,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,2
57,2,0,6,0,0,1,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,3
44,2,0,6,1,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,3
42,4,1,4,1,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,2
57,2,0,6,0,1,1,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,3
40,3,0,3,0,0,1,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
35,2,0,6,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,3
45,3,0,3,0,1,0,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,0
54,2,0,1,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,1
39,0,0,0,0,0,1,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
60,2,0,1,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,1
53,2,1,4,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,2
55,3,0,0,1,0,0,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,0
55,4,0,4,1,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,2
50,6,0,6,1,0,1,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,3
45,1,0,1,1,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,1
55,7,0,4,1,1,1,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,2
25,4,1,6,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,3
47,10,0,6,1,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,3
51,3,0,3,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
42,3,0,2,1,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
42,3,0,2,1,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
48,2,0,1,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,1
37,2,0,6,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,3
44,3,1,3,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
33,2,0,5,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
56,2,0,3,0,1,0,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,0
44,3,1,0,1,1,1,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
41,6,0,2,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
44,6,2,6,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,3
47,2,0,6,1,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,3
57,9,0,5,1,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
37,2,0,6,1,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,3
41,3,2,0,1,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,1,0,1,0,0,2,0
55,4,0,6,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,3
33,1,0,1,1,1,0,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,1
55,6,0,5,1,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
42,3,0,3,1,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
50,3,0,0,1,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
51,3,0,0,1,2,2,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
38,2,0,1,1,0,0,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,1
49,10,0,6,1,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,1,0,1,0,0,2,3
38,4,1,6,0,0,1,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,3
31,2,2,1,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,1
41,6,0,2,0,0,0,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,0
39,2,0,6,0,1,1,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,3
49,4,0,3,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,1,0,1,0,0,2,0
34,2,0,1,0,1,0,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,1
35,2,0,6,0,1,0,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,3
57,9,0,5,1,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
60,2,0,5,1,0,1,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,0
33,7,0,3,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
42,3,0,2,0,0,1,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
45,1,0,4,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,2
42,6,0,6,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,3
53,2,2,6,1,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,3
37,4,1,4,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,2
44,3,0,2,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
54,1,0,5,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
49,3,0,0,0,0,0,0,5,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,3,0,0,2,0
54,1,0,5,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
52,2,2,6,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,3
52,2,2,6,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,3
43,1,1,1,1,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,1
34,0,0,2,0,1,0,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,0
35,2,0,1,0,1,0,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,1
42,10,0,5,1,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
43,4,0,5,1,1,1,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
60,5,2,6,1,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,3
58,7,0,0,1,0,0,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,0
35,1,2,1,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,1
55,3,0,3,1,1,0,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,0
37,6,0,6,0,0,0,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,3
36,3,0,1,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,1
52,2,2,6,0,0,0,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,3
57,3,2,5,1,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
56,2,0,5,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
48,3,2,0,1,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
40,3,0,1,1,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,1
49,3,2,1,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,1
41,1,0,1,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,1
45,4,0,1,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,1
32,2,0,6,0,1,1,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,3
42,2,0,6,0,0,1,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,3
50,2,0,2,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
31,4,2,4,0,1,1,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,2
56,5,0,0,0,1,0,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,0
41,4,0,4,1,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,1,0,1,0,0,2,2
37,3,0,2,0,1,1,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
41,4,0,4,1,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,2
35,3,0,5,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
37,3,0,2,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
52,6,0,6,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,3
39,6,2,6,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,3
39,0,0,0,1,0,0,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,0
56,3,0,0,1,0,0,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,0
34,1,0,1,0,1,0,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,1
45,3,0,3,1,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,1,0,1,0,0,2,0
43,7,1,6,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,3
56,6,0,5,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
39,6,0,6,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,3
53,3,0,0,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
38,9,2,1,1,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,1
42,3,0,0,1,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
42,3,0,0,1,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
35,2,1,1,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,1
40,2,0,6,1,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,3
51,3,0,0,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
60,3,0,3,1,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
56,10,0,5,1,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
39,1,2,1,1,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,1
56,10,0,5,1,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
40,3,0,5,0,1,1,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
36,3,0,3,0,1,1,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
51,3,0,5,1,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
51,3,0,5,1,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
43,4,1,4,0,1,0,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,2
59,1,0,1,0,0,0,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,1
24,6,1,6,0,1,0,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,1,2,0,0,2,3
37,3,1,3,1,1,1,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,0
40,3,0,3,1,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
42,3,0,3,1,0,0,0,5,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,3,0,0,2,0
39,1,2,1,1,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,1
37,10,0,2,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
38,1,0,1,0,1,1,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,1
56,2,2,5,1,0,0,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,0
40,3,0,5,0,0,0,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,0
54,6,2,6,0,1,0,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,3
43,3,0,1,1,0,1,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,1
36,1,0,1,1,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,1
45,4,0,6,0,1,1,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,3
42,2,1,6,1,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,3
43,1,0,1,0,0,0,0,5,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,3,0,0,2,1
46,6,0,3,0,0,0,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,0
44,1,0,1,0,1,1,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,1
51,2,1,2,0,0,0,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,0
28,1,0,1,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,1
37,3,0,3,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
34,4,0,1,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,1
46,3,0,2,1,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
42,3,0,3,0,1,1,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,1,0,2,0,0,2,0
36,2,0,6,0,1,0,0,5,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,3,0,0,2,3
54,3,0,0,1,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
57,6,0,6,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,3
51,4,0,2,1,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
54,5,0,1,1,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,1
49,3,0,0,1,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
34,2,0,6,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,3
41,4,0,4,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,2
38,3,1,3,0,1,0,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,0
45,6,2,6,0,0,0,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,3
42,4,0,6,0,0,0,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,3
34,3,1,3,1,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
48,3,0,0,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
37,2,0,1,1,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,1
34,3,1,3,1,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
40,2,0,3,1,1,0,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,0
43,3,0,2,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
33,1,0,1,0,0,0,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,1
32,1,1,2,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
39,3,0,1,0,1,0,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,1
43,2,0,5,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
44,3,0,3,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
35,11,1,6,1,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,3
35,11,1,6,1,1,1,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,3
35,7,0,4,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,2
36,1,1,0,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
35,11,1,6,1,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,3
36,11,1,3,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
55,0,2,6,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,3
59,2,0,6,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,3
57,5,0,5,1,0,0,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,0
39,3,0,4,1,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,2
39,0,0,0,1,1,0,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,0
30,3,1,5,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
30,3,1,5,0,1,1,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
50,0,0,0,1,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
40,1,0,1,0,0,0,0,5,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,3,0,0,2,1
35,2,0,1,0,1,0,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,1
43,4,0,5,1,0,0,0,5,1,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,2,0,0,2,0
