,,0
default,age_can_class,0.26932560995106414
pdays,contact_var,0.2661165275767209
job,euribor3m,0.26472304297919025
previous,cons.conf.idx,0.26333901726983217
default,quarter,0.2625791295358618
job,education,0.25848774576004613
y,pweek,0.25781395254941764
default,month,0.257473791282606
age,default,0.250082020608904
contact,education_lvl,0.2498015371740925
month,cons.price.idx,0.24956035721364345
job,age_can_class,0.24757543675817417
cons.price.idx,education_lvl,0.24724438968415233
duration,pdays,0.23670993534940438
duration,contact_var,0.23492900199633135
campaign,age_can_class,0.2342926065440396
duration,campaign,0.23337141885982773
pdays,was_contacted,0.2302887803677068
default,contact_var,0.22411611926371355
job,cons.price.idx,0.22349081599088289
default,pdays,0.2232965984483302
month,education_lvl,0.21870286660402447
education,cons.price.idx,0.21394120633204763
quarter,education_lvl,0.2083581866671643
education,contact,0.20519187198795968
age,cons.conf.idx,0.20474349986520424
duration,nr.employed,0.20445787538384216
month,campaign,0.19963006122261684
campaign,quarter,0.19853511608763064
job,education_lvl,0.19625613464625546
marital,euribor3m,0.19438037033734268
housing,cons.price.idx,0.19363443825142185
month,contact_var,0.1914489237510294
contact_var,quarter,0.18916925150435304
emp.var.rate,education_lvl,0.18910668337100214
housing,emp.var.rate,0.188594056337292
marital,emp.var.rate,0.18855039638615828
month,pdays,0.18852696884100004
duration,euribor3m,0.18716176748091196
housing,euribor3m,0.1871291482155765
job,y,0.18538756256814895
job,contact_var,0.18505877472652996
job,pdays,0.18487308062349717
marital,education_lvl,0.1829289027442595
marital,nr.employed,0.1814019094574088
campaign,pdays,0.18034730510508398
duration,emp.var.rate,0.1793116119416612
pdays,education_lvl,0.17816394729229032
job,default,0.17757094926373201
marital,cons.conf.idx,0.1761574645707568
education,month,0.17398766066192067
euribor3m,education_lvl,0.17109758495529878
poutcome,cons.conf.idx,0.16870969967595953
job,poutcome,0.1686080487918123
housing,nr.employed,0.16801549298260984
nr.employed,education_lvl,0.16520821066242244
education,emp.var.rate,0.1641876715316622
education,pdays,0.16355752132021395
job,campaign,0.16338639228903276
education,quarter,0.1622570007775664
pdays,quarter,0.15933684118560443
marital,cons.price.idx,0.15902864188901844
pdays,pweek,0.15687815977059333
job,previous,0.1491899965134814
education,euribor3m,0.1486285340013492
housing,contact,0.14860089236098004
education,nr.employed,0.14331047069782246
contact,pdays,0.14323006147446604
default,campaign,0.14272650316092436
housing,cons.conf.idx,0.14167149813929486
education,age_can_class,0.14072136047089473
job,contact,0.1399035611052421
age,pdays,0.13782675587130916
marital,education,0.13374020851658136
marital,contact,0.13315710895886146
pdays,cons.price.idx,0.128808073699226
age_can_class,education_lvl,0.1287888527076653
y,education_lvl,0.12787591974477502
contact_var,education_lvl,0.12750363191471104
duration,poutcome,0.12584052115268904
loan,month,0.12231023025490072
housing,contact_var,0.12069514602669938
campaign,education_lvl,0.11981456977799725
job,was_contacted,0.1193016992991053
loan,quarter,0.11926585301190802
education,contact_var,0.11887768716937104
housing,campaign,0.11883643804366043
education,campaign,0.11701246816139285
month,day_of_week,0.11033653500904239
default,housing,0.11029333218090656
day_of_week,quarter,0.10930700108949315
default,duration,0.10883251950802898
month,pweek,0.10556625769236706
education,y,0.10362780282248914
poutcome,education_lvl,0.09716032662214974
month,duration,0.09604947371972673
marital,contact_var,0.09393743477791706
duration,cons.price.idx,0.09368340258692841
duration,previous,0.09287950550372272
marital,poutcome,0.09144319003876909
age,day_of_week,0.08983707298449685
duration,age_can_class,0.08879228297339344
marital,previous,0.08835835584528406
pweek,quarter,0.08774541320627709
marital,was_contacted,0.08736995088777803
duration,quarter,0.08718262402388754
default,cons.conf.idx,0.08664261333459528
marital,y,0.08482431746631802
marital,campaign,0.0813440788876893
loan,cons.conf.idx,0.07989892049991482
marital,age_can_class,0.07812786484653875
age,pweek,0.07755047590876957
age,contact_var,0.07705806044830003
age,loan,0.07617229703639551
age,campaign,0.07586438257723195
cons.conf.idx,education_lvl,0.07560517014656683
contact,duration,0.07511884677026379
job,loan,0.0724595133220528
age,nr.employed,0.07205172609935893
education,poutcome,0.0709937978531856
education,cons.conf.idx,0.07055288369003103
marital,month,0.0676462648593938
marital,pweek,0.06715190843470528
month,poutcome,0.06630770158384504
housing,poutcome,0.06616375249969021
education,loan,0.06581752577785029
education,duration,0.0651888011947283
age,housing,0.06514431455072336
previous,education_lvl,0.0639197154598212
loan,pweek,0.06299872518598856
day_of_week,cons.conf.idx,0.06255956011052813
housing,day_of_week,0.061692612853289405
poutcome,quarter,0.06077386893787498
emp.var.rate,quarter,0.06038455046451583
duration,education_lvl,0.05951443915456295
loan,education_lvl,0.059019982989469436
loan,duration,0.05843422535875199
loan,campaign,0.05812091568345445
day_of_week,education_lvl,0.05718657596996169
housing,previous,0.056232899310632564
age,y,0.0559083426969735
job,day_of_week,0.05578105290881859
housing,was_contacted,0.05564464057656789
age,month,0.055642000837029214
duration,was_contacted,0.054353455334107265
marital,quarter,0.05299457311357867
loan,was_contacted,0.05287708302117497
age,emp.var.rate,0.05251750820472124
housing,duration,0.0520291653564867
education,day_of_week,0.04930414744119759
education,pweek,0.04822295376107918
loan,previous,0.047461225739535144
duration,cons.conf.idx,0.047249843687780554
job,pweek,0.04683411675985075
contact,day_of_week,0.046358214206070385
age,poutcome,0.04526307482239707
month,y,0.04482223566309321
loan,age_can_class,0.04454942540511882
loan,y,0.04446826007455201
loan,day_of_week,0.0442572789201969
loan,euribor3m,0.04333684675274934
loan,contact_var,0.04318684222285247
day_of_week,euribor3m,0.042510137188412046
age,euribor3m,0.04239535507517622
y,quarter,0.04204047089134009
day_of_week,age_can_class,0.04193978427068362
marital,day_of_week,0.04192195289048053
age,quarter,0.04173770673339392
month,emp.var.rate,0.04077586409893503
housing,y,0.04022043841034786
day_of_week,emp.var.rate,0.039090097768963765
education,previous,0.03888650180895539
loan,emp.var.rate,0.03864915158385343
marital,loan,0.03853251380431077
marital,pdays,0.03824928529471607
housing,month,0.03749047656899777
job,month,0.037159656839716455
was_contacted,education_lvl,0.03585427164106866
cons.conf.idx,y,0.03465812265820914
default,day_of_week,0.03465108980584029
loan,nr.employed,0.0344436202748686
age,contact,0.03423548900568721
housing,pweek,0.03416870307139906
day_of_week,nr.employed,0.033379197102188486
month,euribor3m,0.03294643000158626
housing,pdays,0.03278785785865037
loan,poutcome,0.03244954701492349
day_of_week,previous,0.031969166898004005
pweek,education_lvl,0.03139462136755176
loan,contact,0.03139337409678273
default,loan,0.030153731082150175
age,duration,0.029089510036903396
housing,age_can_class,0.02898511698951162
day_of_week,was_contacted,0.028340480427993416
cons.conf.idx,age_can_class,0.027455779920250164
month,nr.employed,0.027124375661170718
campaign,cons.conf.idx,0.027057271792352094
job,quarter,0.027034010624058916
day_of_week,pdays,0.02616189066879903
day_of_week,poutcome,0.025950861780226413
housing,quarter,0.025166475363503107
duration,pweek,0.0250326778327651
day_of_week,pweek,0.025018617125670915
job,housing,0.024622599451288012
day_of_week,campaign,0.024498415438596505
day_of_week,cons.price.idx,0.023960275616505395
month,previous,0.02332989934828697
month,was_contacted,0.02236511082005002
previous,quarter,0.022193381282718715
education,housing,0.022107104570373216
cons.conf.idx,contact_var,0.020671719220504273
age,cons.price.idx,0.020383601579531566
job,marital,0.02027158967332171
day_of_week,duration,0.019959207566176602
loan,cons.price.idx,0.018942624526702572
age,was_contacted,0.018704248140741807
day_of_week,y,0.018670299504076986
nr.employed,quarter,0.017717515216023053
marital,duration,0.01693449648904601
age,previous,0.015765496850368182
was_contacted,quarter,0.015189612611989936
day_of_week,contact_var,0.01506557405537741
age,job,0.013077092737759227
job,cons.conf.idx,0.012280977010551404
euribor3m,quarter,0.011872865786978786
education,was_contacted,0.011822314215826244
housing,education_lvl,0.011668944251423508
marital,housing,0.008898692797387423
age_can_class,quarter,0.00843401376586993
month,age_can_class,0.006381226300841306
job,duration,0.004797341588894934
loan,pdays,0.0024672744460940165
